PROFILE_ID,MONTH_BALANCE,BEGINNING_TOTAL_HOLDINGS_GBP,END_TOTAL_HOLDINGS_GBP,BEGINNING_EQUITY_GBP,END_EQUITY_GBP,BEGINNING_INTEREST_GBP,END_INTEREST_GBP
36456319,2023-03-01,"2,08","2,08",,,,
37781654,2023-04-01,0,20,,,,
37961898,2023-05-01,"164,83","95,51",,,,
35946405,2023-05-01,0,0,,,,
39744312,2023-06-01,0,0,,,,
36223947,2023-04-01,"0,91","0,9",,,,
37599957,2023-04-01,"16,22","12,65",,,,
40002163,2023-06-01,"3,32","207,4",,,,
40244010,2023-06-01,0,40,,,,
36223947,2023-06-01,"0,89","0,89",,,,
37766352,2023-05-01,"11,75","4,76",,,,
39564568,2023-05-01,,0,,,,
35460479,2023-05-01,0,0,,,,
38348550,2023-05-01,,"0,37",,,,
35777736,2023-03-01,"163,71","163,71",,,,
37452710,2023-03-01,,0,,,,
37328049,2023-03-01,0,40,,,,
37593849,2023-05-01,"509,62","62,52",,,,
35502226,2023-04-01,1000,640,,,,
39715886,2023-06-01,40,1,,,,
36601998,2023-04-01,"0,05","0,05",,,,
39955886,2023-05-01,,0,,,,
39723280,2023-05-01,,"219,59",,,,
36455637,2023-02-01,,0,,,,
41395295,2023-06-01,,"258,48",,,,
36665233,2023-06-01,"481,02","220,03",,,,
39303316,2023-06-01,0,0,,,,
41368238,2023-06-01,,"156,7",,,,
36834000,2023-06-01,0,0,,,,
37259412,2023-06-01,0,0,,,,
36514300,2023-06-01,0,0,,,,
39318000,2023-06-01,20,20,,,,
35984356,2023-06-01,0,0,,,,
38450288,2023-06-01,"1155,51","857,51",,,,
40210286,2023-06-01,"61,85","31,91",,,,
38938270,2023-05-01,0,0,,,,
40313153,2023-05-01,,"16,07",,,,
37169340,2023-03-01,"15,58","-0,17",,,,
36472563,2023-03-01,38,0,,,,
36124852,2023-04-01,0,"0,8",,,,
39622165,2023-05-01,,0,,,,
38884907,2023-04-01,,"73,06",,,,
36461445,2023-02-01,,0,,,,
36282827,2023-01-01,,0,,,,
37152489,2023-04-01,"52,5","104,76",,,,
38719577,2023-04-01,,"99,76",,,,
36842139,2023-05-01,30,"101,78",,,,
35394067,2023-05-01,"41,13","138,9",,,,
37681979,2023-05-01,"215,03","271,16",,,,
38036077,2023-05-01,"9,5","9,5",,,,
39278616,2023-05-01,,"44,36",,,,
37227917,2023-02-01,,20,,,,
35613249,2023-01-01,,"87,32",,,,
36834003,2023-02-01,,20,,,,
36475269,2023-03-01,"137,41","5,45",,,,
37376796,2023-04-01,0,0,,,,
37777283,2023-03-01,,"1385,44",,,,
35720039,2023-03-01,"107,49","49,14",,,,
36574953,2023-05-01,1,1,,,,
36754523,2023-05-01,1,1,,,,
40164102,2023-05-01,,0,,,,
39802637,2023-05-01,,"172,58",,,,
35671324,2023-02-01,0,0,,,,
35969379,2023-04-01,"17,01","512,9",,,,
38725424,2023-04-01,,20,,,,
35893958,2023-02-01,"43,5","184,4",,,,
39771960,2023-05-01,,20,,,,
35679379,2023-01-01,,"49,2",,,,
38039219,2023-04-01,0,"2,82",,,,
36768879,2023-05-01,20,20,,,,
37689514,2023-05-01,"0,13",43,,,,
35545205,2023-03-01,"29,18","82,36",,,,
39937264,2023-05-01,,16,,,,
36293852,2023-01-01,,20,,,,
37399862,2023-05-01,0,0,,,,
36380048,2023-04-01,"210,01","208,38",,,,
37794723,2023-05-01,"8,21","8,2",,,,
36667991,2023-04-01,0,"4140,54",,,,
39246173,2023-05-01,200,"0,66",,,,
37344897,2023-05-01,58,0,,,,
39989787,2023-05-01,,0,,,,
35510731,2023-02-01,"14,95","2,71",,,,
35387411,2023-02-01,"4,36","657,28",,,,
38029660,2023-03-01,,0,,,,
36008465,2023-02-01,0,0,,,,
36646917,2023-03-01,"41,57","7250,71",,,,
36278607,2023-03-01,"746,15","950,6",,,,
38725369,2023-04-01,,"3,18",,,,
37246211,2023-05-01,"3,76","14,25",,,,
36818047,2023-04-01,0,10,,,,
36543979,2023-03-01,68,68,,,,
36407067,2023-03-01,0,0,,,,
36170497,2023-01-01,,3,,,,
35807968,2023-02-01,0,0,,,,
37700166,2023-03-01,,"184,48",,,,
37600862,2023-05-01,0,0,,,,
36167684,2023-04-01,,"1,98",,,,
35454346,2023-05-01,0,0,,,,
35850134,2023-04-01,"648,79","648,53",,,,
38054356,2023-03-01,,0,,,,
35773197,2023-03-01,20,20,,,,
37255319,2023-03-01,0,0,,,,
35846580,2023-03-01,"27,73","10,97",,,,
36028803,2023-03-01,0,0,,,,
39645508,2023-05-01,,"17,9",,,,
35457715,2023-02-01,221,"563,49",,,,
35706064,2023-06-01,"33,38","33,38",,,,
39402228,2023-06-01,10,10,,,,
36565190,2023-03-01,"133,15","283,26",,,,
35557797,2023-05-01,"444,81","453,38",,,,
36653488,2023-03-01,0,0,,,,
39864512,2023-05-01,,"790,2",,,,
39153933,2023-06-01,"927,31","936,35",,,,
40221796,2023-06-01,"10514,45","23899,13",,,,
39169376,2023-06-01,0,0,,,,
40043082,2023-06-01,"17,5","17,5",,,,
37552117,2023-06-01,"109,26","36,26",,,,
38058574,2023-05-01,0,0,,,,
36636363,2023-03-01,0,0,,,,
38090676,2023-03-01,,0,,,,
35423163,2023-05-01,"260,71","208,82",,,,
35444514,2023-04-01,0,0,,,,
35728339,2023-02-01,"6,08","6,17",,,,
37411650,2023-05-01,0,0,,,,
37892112,2023-03-01,,55,,,,
38562357,2023-04-01,,0,,,,
37722551,2023-03-01,,20,,,,
38828049,2023-06-01,0,0,,,,
39212683,2023-06-01,0,20,,,,
37015556,2023-02-01,,0,,,,
41122848,2023-06-01,,0,,,,
37473543,2023-06-01,"10,4","10,4",,,,
39071669,2023-06-01,,0,,,,
38388445,2023-06-01,"5,1","5,1",,,,
38768870,2023-05-01,0,0,,,,
38515865,2023-05-01,0,0,,,,
37952251,2023-03-01,,"138,38",,,,
36841223,2023-03-01,"2310,37","5,2",,,,
36856682,2023-03-01,"20,57","0,04",,,,
38525219,2023-06-01,0,0,,,,
37648229,2023-06-01,0,0,,,,
35476847,2023-01-01,,"397,37",,,,
38279678,2023-03-01,,0,,,,
37364403,2023-04-01,0,0,,,,
35404973,2023-01-01,,0,,,,
36335926,2023-06-01,"0,08","0,08",,,,
37405549,2023-06-01,"1559,22","2506,2",,,,
39452068,2023-05-01,,0,,,,
36615045,2023-05-01,0,0,,,,
36577533,2023-04-01,0,0,,,,
36244044,2023-05-01,"45,56","56,8",,,,
37444059,2023-04-01,"19,83","19,77",,,,
37547463,2023-04-01,200,"125,28",,,,
36642506,2023-02-01,,"39,9",,,,
35660388,2023-03-01,0,0,,,,
35432227,2023-04-01,0,0,,,,
39184453,2023-05-01,"10,59","8256,05",,,,
35539304,2023-05-01,0,0,,,,
36176651,2023-01-01,,"45,03",,,,
35521764,2023-05-01,0,0,,,,
40851385,2023-06-01,,0,,,,
35350855,2023-06-01,0,0,,,,
35423163,2023-04-01,"100,75","259,52",,,,
37526548,2023-04-01,"8,09","51,82",,,,
36959852,2023-03-01,"27,62","4,93",,,,
37742405,2023-05-01,"1334,6","1461,73",,,,
40223983,2023-06-01,20,"842,7",,,,
36753338,2023-06-01,"63,08","63,08",,,,
36055986,2023-06-01,"0,67",0,,,,
36868147,2023-06-01,0,0,,,,
36600708,2023-06-01,"158,03","27,27",,,,
35966260,2023-06-01,0,0,,,,
38725369,2023-06-01,"5,69","0,06",,,,
39367734,2023-05-01,0,0,,,,
37386528,2023-06-01,"21,22","5,15",,,,
37490143,2023-06-01,0,0,,,,
36178316,2023-06-01,"0,29","0,29",,,,
38051708,2023-06-01,"170,69","178,05",,,,
39816868,2023-06-01,"329,72","2878,54",,,,
37838460,2023-06-01,"4957,15","7628,2",,,,
38526974,2023-06-01,"25,4","25,22",,,,
35776928,2023-05-01,0,0,,,,
38194865,2023-03-01,,20,,,,
37691105,2023-04-01,0,0,,,,
40574901,2023-06-01,,19,,,,
40210219,2023-06-01,,0,,,,
39058786,2023-06-01,,13,,,,
35754625,2023-05-01,"40,03","39,34",,,,
38766008,2023-06-01,"-3,47","-3,47",,,,
